time_s,left_rad_s,right_rad_s,left_ctrl,right_ctrl,left_error,right_error
0.9,4.153481121972682,5.537974829296909,4.3522560078447565,5.803008010459678,1.8585658408074437,2.4780877877432594
0.92,4.16535314495967,5.553804193279559,4.361241524244964,5.814988698993285,1.846518878027318,2.4620251707030913
0.9400000000000001,4.177064722278188,5.56941962970425,4.370305748033745,5.82707433071166,1.8346468550403303,2.446195806720441
0.96,4.188628488643773,5.584837984858364,4.379430633675925,5.839240844901234,1.822935277721812,2.4305803702957496
0.98,4.2000554642597345,5.600073952346312,4.388600561923093,5.8514674158974564,1.811371511356227,2.415162015141636
1.0,4.211355267419814,5.61514035655975,4.3978020195611105,5.863736026081481,1.7999445357402655,2.399926047653688
1.02,4.222536299075431,5.63004839876724,4.4070233213931225,5.876031095190832,1.7886447325801864,2.38485964344025
1.04,4.233605903064732,5.644807870752975,4.416254368888202,5.888339158517605,1.777463700924569,2.36995160123276
1.06,4.244570505213049,5.659427340284064,4.425486440660274,5.900648587547034,1.7663940969352678,2.3551921292470253
1.08,4.25543573409114,5.67391431212152,4.4347120105796485,5.9129493474395325,1.7554294947869513,2.340572659715936
1.1,4.266206525850106,5.6882753678001405,4.443924589873044,5.925232786497393,1.7445642659088598,2.3260856878784804
1.12,4.276887215232876,5.702516286977168,4.453118590048591,5.937491453398122,1.733793474149894,2.3117246321998595
1.1400000000000001,4.287481614585252,5.716642152780336,4.462289203899452,5.949718938532603,1.7231127847671237,2.2974837130228316
1.16,4.297993082449062,5.730657443265416,4.471432302201933,5.961909736269243,1.7125183854147483,2.283357847219664
1.18,4.308424583111305,5.744566110815073,4.480544344038313,5.974059125384416,1.7020069175509382,2.2693425567345837
1.2,4.318778738301951,5.758371651069268,4.489622298947614,5.986163065263485,1.6915754168886954,2.2554338891849266
1.22,4.32905787207581,5.772077162767746,4.498663579344481,5.998218105792642,1.6812212616980489,2.241628348930732
1.24,4.339264049777308,5.785685399703077,4.507665981852017,6.010221309136025,1.6709421279241896,2.2279228372322537
1.26,4.349399111868492,5.799198815824656,4.516627636373038,6.0221701818307185,1.6607359502226924,2.214314600296923
1.28,4.359464703297677,5.812619604396902,4.525546961879222,6.034062615838961,1.6506008881315077,2.2008011841753436
1.3,4.369462298996792,5.825949731995722,4.534422628032194,6.045896837376261,1.640535296702323,2.187380395603098
1.32,4.379393226017974,5.839190968023965,4.543253521867479,6.057671362489972,1.6305377010032078,2.1740502680042777
1.34,4.38925868275258,5.852344910336773,4.552038718873572,6.069384958498096,1.6206067739820256,2.1608090319760347
1.36,4.3990597556173805,5.86541300748984,4.560777457886589,6.081036610515451,1.6107413172474203,2.1476550896632274
1.3800000000000001,4.408797433541943,5.8783965780559235,4.569469119297224,6.092625492396298,1.6009402443826195,2.13458699251016
1.4000000000000001,4.41847262054716,5.891296827396213,4.578113206133249,6.104150941511,1.5912025664580574,2.1216034219440765
1.42,4.428086146666653,5.904114862222204,4.586709327638285,6.1156124368510465,1.5815273794528402,2.1087031726037866
1.44,4.437638777429568,5.916851703239423,4.595257185017662,6.1270095800235485,1.5719138533333474,2.0958851377777963
1.46,4.447131222094482,5.9295082961259755,4.603756559065568,6.138342078754089,1.5623612225704324,2.0831482967605766
