time_s,mode,linear_mps,angular_rps,x_m,y_m,yaw_rad
1.4500000000000006,arc,0.15,0.5,0.19987339836740642,0.07295948576269619,0.7250000000000003
1.5000000000000007,arc,0.15,0.5,0.20548714403215265,0.07793300158267132,0.7500000000000003
1.5500000000000007,arc,0.15,0.5,0.21097481054870632,0.08304529228284632,0.7750000000000004
1.6000000000000008,arc,0.15,0.5,0.2163329683041258,0.08829316284794585,0.8000000000000004
1.6500000000000008,arc,0.15,0.5,0.22155826862422953,0.09367333352969227,0.8250000000000004
1.7000000000000008,arc,0.15,0.5,0.22664744586640834,0.09918244189654161,0.8500000000000004
1.7500000000000009,arc,0.15,0.5,0.2315973194605457,0.1048170449350938,0.8750000000000004
1.800000000000001,arc,0.15,0.5,0.23640479589677066,0.11057362120186401,0.9000000000000005
1.850000000000001,arc,0.15,0.5,0.24106687065880064,0.11644857302407013,0.9250000000000005
1.900000000000001,arc,0.15,0.5,0.24558063010166647,0.12243822874806125,0.9500000000000006
1.950000000000001,arc,0.15,0.5,0.2499432532726456,0.12853884503398155,0.9750000000000006
2.000000000000001,arc,0.15,0.5,0.25415201367426565,0.13474660919523598,1.0000000000000007
2.0500000000000007,arc,0.15,0.5,0.2582042809682767,0.14105764158129522,1.0250000000000006
2.1000000000000005,arc,0.15,0.5,0.26209752261952696,0.14746799800235091,1.0500000000000005
2.1500000000000004,arc,0.15,0.5,0.2658293054787149,0.15397367219430605,1.0750000000000004
2.2,arc,0.15,0.5,0.2693972973030283,0.16057059832255946,1.1000000000000003
2.25,arc,0.15,0.5,0.27279926821372014,0.1672546535230202,1.1250000000000002
2.3,arc,0.15,0.5,0.2760330920897101,0.17402166047876344,1.1500000000000001
2.3499999999999996,arc,0.15,0.5,0.2790967478963413,0.18086739003071733,1.175
2.3999999999999995,arc,0.15,0.5,0.2819883209484608,0.18778756382075007,1.2
2.4499999999999993,arc,0.15,0.5,0.2847060041070359,0.19477785696550426,1.2249999999999999
2.499999999999999,arc,0.15,0.5,0.2872480989085568,0.2018339007593083,1.2499999999999998
2.549999999999999,arc,0.15,0.5,0.28961301662652134,0.2089512854044752,1.2749999999999997
2.5999999999999988,arc,0.15,0.5,0.29179927926433713,0.2161255627672826,1.2999999999999996
2.6499999999999986,arc,0.15,0.5,0.29380552047902153,0.22335224915791155,1.3249999999999995
2.6999999999999984,arc,0.15,0.5,0.2956304864351213,0.2306268281326067,1.3499999999999994
2.7499999999999982,arc,0.15,0.5,0.2972730365883191,0.23794475331630666,1.3749999999999993
2.799999999999998,arc,0.15,0.5,0.29873214439823653,0.2453014512439803,1.3999999999999992
2.849999999999998,arc,0.15,0.5,0.30000689796998836,0.25269232421889376,1.4249999999999992
2.8999999999999977,arc,0.15,0.5,0.30109650062408727,0.26011275318602095,1.449999999999999
2.9499999999999975,arc,0.15,0.5,0.30200027139434255,0.26755810061880286,1.474999999999999
2.9999999999999973,arc,0.15,0.5,0.30271764545344176,0.2750237134174505,1.499999999999999
3.049999999999997,arc,0.15,0.5,0.30324817446594954,0.28250492581698095,1.5249999999999988
3.099999999999997,arc,0.15,0.5,0.30359152686850255,0.2899970623031684,1.5499999999999987
3.149999999999997,arc,0.15,0.5,0.30374748807702573,0.2974954405345886,1.5749999999999986
3.1999999999999966,arc,0.15,0.5,0.30371596062084055,0.30499537426892964,1.5999999999999985
3.2499999999999964,arc,0.15,0.5,0.3034969642035809,0.3124921762917409,1.6249999999999984
3.2999999999999963,arc,0.15,0.5,0.3030906356908789,0.31998116134578963,1.6499999999999984
3.349999999999996,arc,0.15,0.5,0.3024972290248284,0.327457649059194,1.6749999999999983
3.399999999999996,arc,0.15,0.5,0.3017171150652795,0.3349169668705034,1.6999999999999982
3.4499999999999957,arc,0.15,0.5,0.30075078135806305,0.3423544529488969,1.724999999999998
3.4999999999999956,arc,0.15,0.5,0.2995988318302906,0.3497654591076762,1.749999999999998
3.5499999999999954,arc,0.15,0.5,0.29826198641291946,0.35714535370923073,1.774999999999998
3.599999999999995,arc,0.15,0.5,0.2967410805908192,0.36448952455966044,1.7999999999999978
3.649999999999995,arc,0.15,0.5,0.2950370648806211,0.3717933817912469,1.8249999999999977
3.699999999999995,arc,0.15,0.5,0.29315100423667584,0.37905236073097115,1.8499999999999976
3.7499999999999947,arc,0.15,0.5,0.291084077385492,0.3862619247532859,1.8749999999999976
3.7999999999999945,arc,0.15,0.5,0.28883757608907024,0.3934175681153586,1.8999999999999975
3.8499999999999943,arc,0.15,0.5,0.286412904337594,0.4005148187730142,1.9249999999999974
3.899999999999994,arc,0.15,0.5,0.28381157747198144,0.4075492411756172,1.9499999999999973
3.949999999999994,arc,0.15,0.5,0.2810352212368468,0.4145164390381462,1.9749999999999972
3.999999999999994,arc,0.15,0.5,0.2780855707644627,0.42141205808872934,1.9999999999999971
4.049999999999994,arc,0.15,0.5,0.2749644694903592,0.42823178878992196,2.0249999999999972
4.099999999999993,arc,0.15,0.5,0.2716738680012363,0.4349713690320277,2.049999999999997
4.149999999999993,arc,0.15,0.5,0.26821582281591094,0.441626586796778,2.074999999999997
4.199999999999993,arc,0.15,0.5,0.26459249510005983,0.44819328278970666,2.099999999999997
4.249999999999993,arc,0.15,0.5,0.2608061493155609,0.45466735303957323,2.124999999999997
4.299999999999993,arc,0.15,0.5,0.25685915180527863,0.4610447514632116,2.149999999999997
4.3499999999999925,arc,0.15,0.5,0.2527539693141766,0.46732149239420034,2.1749999999999967
4.399999999999992,arc,0.15,0.5,0.24849316744768232,0.4734936530737743,2.1999999999999966
4.449999999999992,arc,0.15,0.5,0.24407940906826725,0.4795573761024212,2.2249999999999965
4.499999999999992,arc,0.15,0.5,0.2395154526312445,0.48550887185063096,2.2499999999999964
4.549999999999992,arc,0.15,0.5,0.23480415046082398,0.4913444208272904,2.2749999999999964
4.599999999999992,arc,0.15,0.5,0.22994844696750272,0.49706037600424446,2.2999999999999963
4.6499999999999915,arc,0.15,0.5,0.22495137680790406,0.5026531650955699,2.324999999999996
4.699999999999991,arc,0.15,0.5,0.2198160629882161,0.5081192927901378,2.349999999999996
4.749999999999991,arc,0.15,0.5,0.21454571491241448,0.5134553429360691,2.374999999999996
4.799999999999991,arc,0.15,0.5,0.2091436263764893,0.5186579806757187,2.399999999999996
4.849999999999991,arc,0.15,0.5,0.20361317350993,0.5237239545298523,2.424999999999996
4.899999999999991,arc,0.15,0.5,0.1979578126657541,0.5286500984297158,2.4499999999999957
4.94999999999999,arc,0.15,0.5,0.19218107826039932,0.5334333336957245,2.4749999999999956
4.99999999999999,arc,0.15,0.5,0.18628658056482816,0.5380706709615385,2.4999999999999956
5.04999999999999,arc,0.15,0.5,0.18027800344822617,0.5425592120423182,2.5249999999999955
5.09999999999999,arc,0.15,0.5,0.17415910207570362,0.5468961517459965,2.5499999999999954
5.14999999999999,arc,0.15,0.5,0.16793370056143947,0.5510787796264321,2.5749999999999953
5.1999999999999895,arc,0.15,0.5,0.16160568957873458,0.5551044816773503,2.599999999999995
5.249999999999989,arc,0.15,0.5,0.1551790239284675,0.5589707419660113,2.624999999999995
5.299999999999989,arc,0.15,0.5,0.14865772006747263,0.562675144205587,2.649999999999995
5.349999999999989,arc,0.15,0.5,0.1420458535983855,0.5662153732652611,2.674999999999995
5.399999999999989,arc,0.15,0.5,0.13534755672252374,0.5695892166171108,2.699999999999995
5.449999999999989,arc,0.15,0.5,0.1285670156573958,0.5727945657188646,2.7249999999999948
5.4999999999999885,arc,0.15,0.5,0.12170846802045125,0.5758294173316724,2.7499999999999947
5.549999999999988,arc,0.15,0.5,0.11477620018070779,0.5786918747720649,2.7749999999999946
5.599999999999988,arc,0.15,0.5,0.10777454457991022,0.5813801490973188,2.7999999999999945
5.649999999999988,arc,0.15,0.5,0.1007078770248953,0.5838925602234881,2.8249999999999944
5.699999999999988,arc,0.15,0.5,0.09358061395285495,0.5862275379754014,2.8499999999999943
5.749999999999988,arc,0.15,0.5,0.08639720967120679,0.5883836230679705,2.8749999999999942
5.799999999999987,arc,0.15,0.5,0.07916215357379693,0.5903594680181963,2.899999999999994
5.849999999999987,arc,0.15,0.5,0.071879967335175,0.5921538379873011,2.924999999999994
5.899999999999987,arc,0.15,0.5,0.06455520208469477,0.5937656115524639,2.949999999999994
5.949999999999987,arc,0.15,0.5,0.05719243556220637,0.5951937814076717,2.974999999999994
5.999999999999987,arc,0.15,0.5,0.04979626925711797,0.5964374549932538,2.999999999999994
